#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
44.000000,284.092220,0.000000,0.197235,0.000000,-0.015127,0.000000,0.999886,284.091888,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
45.000000,303.902313,0.000000,0.203591,0.000000,-0.013550,0.000000,0.999908,303.901886,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
46.000000,324.612507,0.000000,0.203399,0.000000,-0.011864,0.000000,0.999930,324.612061,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
47.000000,346.243191,0.000000,0.197422,0.000000,-0.010134,0.000000,0.999949,346.242371,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48.000000,368.813762,0.000000,0.186493,0.000000,-0.008413,0.000000,0.999965,368.812836,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49.000000,392.344640,0.000000,0.171499,0.000000,-0.006748,0.000000,0.999977,392.343445,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50.000000,416.855547,0.000000,0.153319,0.000000,-0.005177,0.000000,0.999987,416.854187,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51.000000,442.366577,0.000000,0.132821,0.000000,-0.003730,0.000000,0.999993,442.365112,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52.000000,468.897526,0.000000,0.110837,0.000000,-0.002430,0.000000,0.999997,468.896149,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
53.000000,496.468721,0.000000,0.088155,0.000000,-0.001294,0.000000,0.999999,496.467377,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
54.000000,525.100004,0.000000,0.065498,0.000000,-0.000332,0.000000,1.000000,525.098755,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
55.000000,554.811432,0.000000,0.043525,0.000000,0.000453,0.000000,1.000000,554.810242,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
56.000000,585.622983,0.000000,0.022810,0.000000,0.001060,0.000000,0.999999,585.621887,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
57.000000,617.554636,0.000000,0.003836,0.000000,0.001495,0.000000,0.999999,617.553711,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
58.000000,650.626444,0.000000,-0.013012,0.000000,0.001768,0.000000,0.999998,650.625671,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
59.000000,684.858410,0.000000,-0.027455,0.000000,0.001893,0.000000,0.999998,684.857788,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
60.000000,720.270521,0.000000,-0.039317,0.000000,0.001887,0.000000,0.999998,720.270020,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
61.000000,756.882832,0.000000,-0.048525,0.000000,0.001768,0.000000,0.999998,756.882446,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
62.000000,794.715277,0.000000,-0.055097,0.000000,0.001555,0.000000,0.999999,794.715027,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
63.000000,833.787906,0.000000,-0.059137,0.000000,0.001270,0.000000,0.999999,833.787720,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
64.000000,874.120656,0.000000,-0.060819,0.000000,0.000932,0.000000,1.000000,874.120544,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
65.000000,915.733587,0.000000,-0.060375,0.000000,0.000560,0.000000,1.000000,915.733582,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
66.000000,958.646658,0.000000,-0.058078,0.000000,0.000172,0.000000,1.000000,958.646729,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
67.000000,1002.879937,0.000000,-0.054229,0.000000,-0.000216,0.000000,1.000000,1002.880066,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
68.000000,1048.453333,0.000000,-0.049147,0.000000,-0.000590,0.000000,1.000000,1048.453491,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
69.000000,1095.386887,0.000000,-0.043152,0.000000,-0.000939,0.000000,1.000000,1095.387085,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
70.000000,1143.700647,0.000000,-0.036557,0.000000,-0.001255,0.000000,0.999999,1143.700928,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
71.000000,1193.414500,0.000000,-0.029657,0.000000,-0.001529,0.000000,0.999999,1193.414795,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
72.000000,1244.548531,0.000000,-0.022723,0.000000,-0.001759,0.000000,0.999998,1244.548828,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
73.000000,1297.122698,0.000000,-0.015994,0.000000,-0.001941,0.000000,0.999998,1297.123047,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
74.000000,1351.157042,0.000000,-0.009673,0.000000,-0.002076,0.000000,0.999998,1351.157349,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
75.000000,1406.671523,0.000000,-0.003927,0.000000,-0.002165,0.000000,0.999998,1406.671875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
76.000000,1463.686162,0.000000,0.001121,0.000000,-0.002210,0.000000,0.999998,1463.686523,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
